Id Producción,Fecha producción,Unidades,Beneficio total,Referencia pieza,Nombre pieza,Categoría pieza,Beneficio por pieza,Tiempo fabricación (segs),Id Fábrica,Nombre fábrica,País fábrica
1,05/11/20,46480,"161285,6",L64283,Racor de reducción,Letreros,"3,47",2303,1,Soleada,España
2,21/05/21,7800,21684,B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",1933,3,Fría,Canadá
3,18/10/19,3,"9,69",V98567,Schellenberg 10220 enrollador de integrado para correas de algodón,Ventanas,"3,23",2938,3,Fría,Canadá
4,19/01/18,6001,"92715,45",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",2668,3,Fría,Canadá
5,04/06/22,7740,"16563,6",B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",2980,4,Desértica,Mongolia
6,13/06/20,97,"657,66",T84788,Juego de 780 tornillos avellanados en estuche,Tornillos,"6,78",270,3,Fría,Canadá
7,20/12/21,991,"15310,95",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",1871,3,Fría,Canadá
8,20/04/18,4,"22,68",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",3560,2,Nublada,Inglaterra
9,09/10/21,5,"107,25",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",620,3,Fría,Canadá
10,08/11/18,34160,"118535,2",L64283,Racor de reducción,Letreros,"3,47",2906,1,Soleada,España
11,23/01/22,88400,245752,B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",1325,3,Fría,Canadá
12,21/09/20,529,"3586,62",T84788,Juego de 780 tornillos avellanados en estuche,Tornillos,"6,78",1332,3,Fría,Canadá
13,22/04/22,1,"2,34",T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",685,4,Desértica,Mongolia
14,14/11/18,2,"9,34",BA1425,"Ganchos Acero, Soporte de Pared para Toallas de Baño",Baño,"4,67",2793,3,Fría,Canadá
15,17/12/22,4,"85,8",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",2908,3,Fría,Canadá
